"coinPosition [mm]","Freq [MHz]","mag(Zt(Source1_T1,Source1_T1) - ((Zt(Source1_T1,Source2_T1)*Zt(Source2_T1,Source1_T1)))/(Zt(Source2_T1,Source2_T1)+50)) []"
4,2.23872113856834,50.0219127960249
4,2.51188643150958,50.0229199875225
4,2.81838293126445,50.0239728445655
4,3.16227766016838,50.0250689224541
4,3.54813389233575,50.0262132305522
4,3.98107170553497,50.0274203303399
4,4.46683592150963,50.02871593967
4,5.01187233627272,50.0301382062634
4,5.62341325190349,50.0317389523463
4,6.30957344480193,50.0335852353573
4,7.07945784384138,50.0357615414003
4,7.94328234724282,50.0383728694263
4,8.91250938133745,50.0415489078216
4,10,50.0454494655553
5,1,50.0167779338952
5,1.12201845430196,50.0172731734926
5,1.25892541179417,50.0178483596108
5,1.41253754462275,50.0185064768354
5,1.58489319246111,50.0192473005429
5,1.77827941003892,50.0200670417158
5,1.99526231496888,50.0209586282714
5,2.23872113856834,50.0219127960249
5,2.51188643150958,50.0229199875225
5,2.81838293126445,50.0239728445655
5,3.16227766016838,50.0250689224541
5,3.54813389233575,50.0262132305522
5,3.98107170553497,50.0274203303399
5,4.46683592150963,50.02871593967
5,5.01187233627272,50.0301382062634
5,5.62341325190349,50.0317389523463
5,6.30957344480193,50.0335852353573
5,7.07945784384138,50.0357615414003
5,7.94328234724282,50.0383728694263
5,8.91250938133745,50.0415489078216
5,10,50.0454494655553
6,1,50.0167779338952
6,1.12201845430196,50.0172731734926
6,1.25892541179417,50.0178483596108
6,1.41253754462275,50.0185064768354
6,1.58489319246111,50.0192473005429
6,1.77827941003892,50.0200670417158
6,1.99526231496888,50.0209586282714
6,2.23872113856834,50.0219127960249
6,2.51188643150958,50.0229199875225
6,2.81838293126445,50.0239728445655
6,3.16227766016838,50.0250689224541
6,3.54813389233575,50.0262132305522
6,3.98107170553497,50.0274203303399
6,4.46683592150963,50.02871593967
6,5.01187233627272,50.0301382062634
6,5.62341325190349,50.0317389523463
6,6.30957344480193,50.0335852353573
6,7.07945784384138,50.0357615414003
6,7.94328234724282,50.0383728694263
6,8.91250938133745,50.0415489078216
6,10,50.0454494655553
7,1,50.0167779338952
7,1.12201845430196,50.0172731734926
7,1.25892541179417,50.0178483596108
7,1.41253754462275,50.0185064768354
7,1.58489319246111,50.0192473005429
7,1.77827941003892,50.0200670417158
7,1.99526231496888,50.0209586282714
7,2.23872113856834,50.0219127960249
7,2.51188643150958,50.0229199875225
7,2.81838293126445,50.0239728445655
7,3.16227766016838,50.0250689224541
7,3.54813389233575,50.0262132305522
7,3.98107170553497,50.0274203303399
7,4.46683592150963,50.02871593967
7,5.01187233627272,50.0301382062634
7,5.62341325190349,50.0317389523463
7,6.30957344480193,50.0335852353573
7,7.07945784384138,50.0357615414003
7,7.94328234724282,50.0383728694263
7,8.91250938133745,50.0415489078216
7,10,50.0454494655553
8,1,50.0167779338952
8,1.12201845430196,50.0172731734926
8,1.25892541179417,50.0178483596108
8,1.41253754462275,50.0185064768354
8,1.58489319246111,50.0192473005429
8,1.77827941003892,50.0200670417158
8,1.99526231496888,50.0209586282714
8,2.23872113856834,50.0219127960249
